Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Operating Income (Loss),Non-Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
ABCB,919504,USD,2020,Q4,2021-02-26,2021-02-26,69256000.0,69426000.0,1084253000,-145380000.0,938873000,-598629000,340244000,,340244000,-78256000.0,261988000,,261988000,261988000
ABTX,953887,USD,2020,Q4,2021-03-10,2021-03-10,20415000.0,20546000.0,210839000,-27374000.0,183465000,-127494000,55971000,,55971000,-10437000.0,45534000,,45534000,45534000
AJX,90767,USD,2020,Q4,2021-03-05,2021-03-05,22641636.0,22641636.0,53496000,10820000.0,64316000,-29467000,34849000,,33483000,125000.0,33608000,,28496000,22756000
ARI,498489,USD,2020,Q4,2021-02-10,2021-02-10,148004385.0,148004385.0,201285000,-125600000.0,75685000,-26849000,48836000,0.0,18377000,,18377000,,18377000,4837000
AXP,413080,USD,2020,Q4,2021-02-12,2021-02-12,805000000.0,806000000.0,36087000000,-4730000000.0,31357000000,-27061000000,4296000000,,4296000000,-1161000000.0,3135000000,0.0,3135000000,3135000000
BAC,71941,USD,2020,Q4,2021-02-24,2021-02-24,8753200000.0,8796900000.0,85528000000,-11320000000.0,74208000000,-55213000000,18995000000,,18995000000,-1101000000.0,17894000000,,17894000000,16473000000
BBT,245217,USD,2020,Q4,2021-02-24,2021-02-24,1347080000.0,1358289000.0,22705000000,-2335000000.0,20370000000,-13802000000,6568000000,,5473000000,-981000000.0,4492000000,,4482000000,4184000000
BK,467599,USD,2019,Q4,2020-02-27,2020-02-27,939623000.0,943109000.0,16462000000,25000000.0,16487000000,-10775000000,5712000000,,5587000000,-1120000000.0,4467000000,,4441000000,4272000000
BOKF,344670,USD,2020,Q4,2021-02-24,2021-02-24,69840977.0,69844172.0,1952393000,-222592000.0,1729801000,-1146228000,583573000,,563864000,-128793000.0,435071000,,435030000,435030000
C,89126,USD,2020,Q4,2021-02-26,2021-02-26,2085800000.0,2099000000.0,74298000000,-17495000000.0,56803000000,-43171000000,13632000000,,13632000000,-2525000000.0,11107000000,-20000000.0,11047000000,11047000000
CBKM,259775,USD,2021,Q2,2021-02-12,2021-02-12,3013168.0,3013173.0,29037000,-1925000.0,27112000,-19158000,7954000,,8979000,-1487000.0,7492000,,7492000,7492000
