Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
A,45846,USD,2021,Q2,2021-06-01,2021-06-01,307250000.0,310250000.0,925000000.0,306000000.0,215000000.0,-69000000.0,-149000000.0,-63000000.0,63000000.0,80000000.0,1377000000,-123000000.0,0.0,-547000000.0,-688000000.0,-229000000.0,435000000.0,-768000000.0,-650000000.0,58000000
AA,367153,USD,2021,Q1,2021-05-05,2021-05-05,186000000.0,186500000.0,66000000.0,665000000.0,-125000000.0,-116000000.0,,,,,490000000,55000000.0,-13000000.0,198000000.0,240000000.0,,1233000000.0,5000000.0,986000000.0,1715000000
AAC_delist,939324,USD,2017,Q1,2017-05-04,2018-05-09,22985326.0,22983467.0,-27745000.0,19240000.0,48553000.0,-39828000.0,,,,,220000,-40974000.0,,-18825000.0,-59574000.0,,-7717000.0,,51997000.0,-7357000
AAL,68568,USD,2021,Q1,2021-04-22,2021-04-22,536112000.0,536112000.0,,,,,,,,,-6201000000,85000000.0,,0.0,-11332000000.0,0.0,20785000000.0,301000000.0,17481000000.0,-52000000
AAMC,847094,USD,2021,Q1,2021-05-17,2021-05-17,1688452.0,1746918.0,-9423000.0,348000.0,-10953000.0,-1767000.0,,,,,19796000,-575000.0,-96950000.0,0.0,-46219000.0,,28407000.0,14000.0,24419000.0,-1829000
AAN,441241,USD,2020,Q4,2021-02-23,2021-02-23,33877000.0,33877000.0,-265912000.0,571260000.0,73387000.0,-22966000.0,,,,,355769000,-60607000.0,,-14434000.0,-75041000.0,0.0,-347562000.0,0.0,-253411000.0,27350000
AAOI,671827,USD,2021,Q1,2021-05-06,2021-05-06,23424052.0,23424052.0,-57277000.0,25146000.0,25485000.0,-44331000.0,,,,,-50977000,-15528000.0,,,-18569000.0,,4785000.0,54373000.0,58062000.0,-13179000
AAON,919501,USD,2021,Q1,2021-05-06,2021-05-06,52224085.0,53296975.0,73532000.0,27030000.0,24170000.0,-4677000.0,,,,,120055000,-62330000.0,-6000000.0,0.0,-55859000.0,-19815000.0,6614000.0,2679000.0,-18569000.0,45627000
AAP,184955,USD,2021,Q1,2021-06-02,2021-06-02,68633000.0,68900250.0,635363000.0,248755000.0,128448000.0,276146000.0,,,,,1288712000,-254059000.0,,18893000.0,-254059000.0,-67900000.0,-753716000.0,-615042000.0,-1439544000.0,-399605000
AAPL,111052,USD,2021,Q2,2021-04-29,2021-04-29,16999126750.0,17179630250.0,76311000000.0,10917000000.0,7437000000.0,4926000000.0,,,,,99591000000,-9118000000.0,-8850000000.0,-399000000.0,-18586000000.0,-14227000000.0,13466000000.0,-75390000000.0,-84048000000.0,-3043000000
