Ticker,Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Income,Net Income (Common),"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,Total Current Assets,"Property, Plant & Equipment, Net",Other Long Term Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,Total Current Liabilities,Long Term Debt,Total Noncurrent Liabilities,Total Liabilities,Share Capital & Additional Paid-In Capital,Retained Earnings,Total Equity,Total Liabilities & Equity,Net Income/Starting Line,Non-Cash Items,Change in Working Capital,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Cash from Investing Activities,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash,(Dividends + Share Buyback) / FCF,Asset Turnover,CapEx / (Depr + Amor),Current Ratio,Dividends / FCF,Gross Profit Margin,Interest Coverage,Log Revenue,Net Profit Margin,Quick Ratio,Return on Assets,Return on Equity,Share Buyback / FCF,Assets Growth,Assets Growth QOQ,Assets Growth YOY,Earnings Growth,Earnings Growth QOQ,Earnings Growth YOY,FCF Growth,FCF Growth QOQ,FCF Growth YOY,Sales Growth,Sales Growth QOQ,Sales Growth YOY,EBITDA,Total Debt,Free Cash Flow,Operating Margin,Free Cash Flow to Net Income,Liabilities to Equity Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Pietroski F-Score,Sector,Industry
A,2021-06-30,307250000.0,310250000.0,18.749395648670426,-8.718775181305398,10.030620467365027,-6.340048348106365,-5.031426269137792,3.6905721192586625,-0.18694601128122482,-0.23851732473811443,3.5036261079774373,3.5036261079774373,-0.5221595487510072,2.9814665592264302,2.9814665592264302,2.9814665592264302,4.4480257856567285,3.4649476228847704,11.32634971796938,2.8493150684931505,18.73327961321515,22.188557614826752,33.514907332796135,2.378726833199033,5.666398066075746,8.789685737308622,12.344883158742949,18.011281224818696,16.999194198227237,-0.038678485092667206,15.503626107977437,33.514907332796135,2.9814665592264302,0.6929895245769541,-0.22240128928283642,4.438356164383562,-0.3964544721998388,-2.217566478646253,1.4020950846091862,-2.475423045930701,-2.09508460918614,0.18694601128122482,0.7950558213716108,0.5594345066358916,0.4019607843137255,1.9988623435722412,0.18261562998405104,0.5349836685576758,15.472972972972974,9.764699063798368,0.15901667526216262,1.3964732650739478,0.08895941527216772,0.19230769230769232,0.6124401913875598,0.09973558963511375,0.0748397767211082,0.09973558963511375,0.3543191800878478,-0.25,1.1386138613861387,0.882882882882883,1.2385786802030458,0.575,0.1109625668449199,-0.014857881136950857,0.23182552504038778,4.676873489121676,9.45044319097502,4.580177276390008,0.19684000000000001,1.5362200000000001,1.16175,3.01058,2.9814700000000003,18.932470000000002,15.655,4.6249,7.0,1,1
AA,2021-06-30,186000000.0,186500000.0,52.41286863270778,-44.160857908847184,8.25201072386059,-4.772117962466488,-1.061662198391421,3.479892761394102,-1.4691689008042896,-0.8471849865951743,2.0107238605898123,1.4262734584450403,-1.0723860589812333,0.353887399463807,-0.40214477211796246,-0.40214477211796246,13.640750670241287,3.1474530831099194,26.22520107238606,37.15817694369973,11.018766756032171,53.833780160857906,80.05898123324397,9.335120643431635,17.27077747989276,11.871313672922252,36.65951742627346,53.93029490616622,51.88203753351206,-2.9490616621983916,26.128686327077748,80.05898123324397,0.353887399463807,-0.6702412868632708,-0.6219839142091153,2.6273458445040214,1.3619302949061662,1.2868632707774799,6.611260053619303,0.02680965147453083,5.28686327077748,9.195710455764075,-0.006720430107526882,0.654678186323756,-0.3819548872180451,1.5184725240608508,-0.0,0.15744245524296674,4.1075949367088604,9.990116766067905,-0.0076726342710997444,0.9720583669667805,-0.005023106288929074,-0.015390929612148574,-0.006720430107526882,0.09376602446707194,0.004777927321668818,0.09376602446707194,-0.9113475177304965,-44.75,1.1875,26.555555555555557,-8.150684931506849,-3.883977900552486,-0.0316988608221892,0.19983277591973247,0.20537589248215027,7.045576407506703,15.865951742627345,8.857908847184987,0.06639,-22.026670000000003,2.06403,-0.40323000000000003,-0.40214,52.55376,17.46237,8.88172,5.0,2,2
AAL,2021-06-30,536112000.0,536112000.0,23.93156653833527,-18.147327424120334,5.78423911421494,-22.920583758617603,-0.6696361954218522,-17.136344644402662,-1.7701525054466232,-2.4565762378010567,-18.906497149849287,-18.906497149849287,4.1819619780941295,-14.724535171755155,-14.724535171755155,-14.724535171755155,26.186692332945356,1.8111887068373773,33.74108395260692,57.631614289551436,36.67703763392724,94.30865192347868,128.0497358760856,10.022159548751008,32.33093085027009,69.47615423642821,110.53846957352195,142.86940042379203,13.030859223445848,-14.726400453636554,-14.819664547706449,128.0497358760856,0.0,0.0,0.0,-11.566612946548483,-0.3637299668725938,-21.137374280001193,37.04263288268123,0.561449846300773,32.60699256871698,-0.09699465783269168,0.04706066291432145,0.18689274424973415,0.0,1.0436162233889112,0.0,0.2416991426344505,-6.975702353834472,10.108226656374928,-0.6152766952455183,0.8659781918883055,-0.11499075004734227,0.9935808684707363,0.04706066291432145,0.1718846022533287,0.10709908398916279,0.1718846022533287,9.667567567567568,-0.42607897153351704,-0.4422132976349844,8.11111111111111,-1.1162611046736193,-1.4312320916905446,-0.7064006041328177,-0.004718152470821968,-0.529301233118027,0.0,74.03490315456472,0.0,-0.71606,0.0,-9.64053,-14.72454,-14.72454,23.93157,-14.81966,0.0,3.0,3,3
AAMC,2021-06-30,1688452.0,1746918.0,-2.262269894751786,0.0,-2.262269894751786,-11.173964662336756,-1.1368593145184833,-13.436234557088541,5.329958246466062,-0.020607721713325984,-8.10627631062248,-4.831365868346425,-1.6486177370660786,-6.479983605412504,28.29783653268213,28.29783653268213,70.10517952187796,0.0,70.10517952187796,0.0,0.8695313689595047,0.8695313689595047,70.97471089083746,17.467906335615066,17.54003336161171,0.0,3.064253731428722,20.60428709304043,73.26445774787368,39.67558866529511,50.37042379779704,70.97471089083746,-6.479983605412504,-6.362634078989397,-0.7642030135358385,11.331957195472254,-0.3142677561282212,-26.45745249633927,16.26120974195698,0.008014113999626772,13.978332125491866,-1.092209250806277,-0.0007273860861432951,-0.031874309403405195,1.668693009118541,3.9968669429848895,-0.0,1.0,-652.0,0.0,-12.508603238866396,3.9968669429848895,0.39870308984006386,0.5617946882138352,-0.0007273860861432951,1.5275099378248904,0.24295252225519293,1.5275099378248904,-9.939240506329114,-0.8523412088050631,-2.5586904445035934,-4.363684026564139,-1.2946591030718184,-0.20890804597701151,-1.2499525646701664,0.0872975708502024,-2.998788466198207,-13.247902878097312,0.0,-12.677755910695293,5.93927,-0.44801,0.40906,29.27771,28.29784,-2.34061,-47.50329,-13.11675,3.0,4,4
AAOI,2021-06-30,23424052.0,23424052.0,10.410538706112845,-8.065854703532933,2.3446840025799123,-4.269457735151886,-2.4011644099833793,-1.9247737325719734,-0.12440204623862686,-0.23424640621528675,-2.0491757788106004,-2.0491757788106004,-0.39604591041720705,-2.4452216892278074,-2.4452216892278074,-2.4452216892278074,1.941679432747161,2.030818579125422,8.958953813797885,10.600343612625178,0.7771499141139202,11.377493526739096,20.33644734053698,1.717422758453576,4.201450713992609,3.916657971899994,4.246703345774677,8.448154059767285,15.878849654193049,-4.445473396319304,11.888293280769698,20.33644734053698,-2.4452216892278074,1.087984265062253,-1.892541905217765,-2.176267368258916,-0.6629083644452292,-0.7927321882652925,0.2042772104501817,2.321246554609766,2.4787342514437722,-0.5626268247696854,0.8175776257424254,0.5119153081060203,0.6175137198759246,2.1323477112228826,0.0,0.22522215888820088,-8.216876252961546,8.387135226680671,-0.23487945804303342,0.945506274450033,-0.1202383901318745,-0.2056831566548881,0.8175776257424254,0.050328970577859344,-0.009240752488014925,0.050328970577859344,-0.20857513955673468,0.16243768137510228,-0.06995296779186755,1.2660056560700537,-0.01733034212002238,0.5794645271793022,0.3652278580226178,-0.050166265336544,0.22818592927570602,-0.8512617714475702,6.085497077960722,-3.0106661306933575,-0.18489,1.23124,0.71063,-2.44522,-2.44522,10.41054,11.88829,-3.01067,6.0,5,5
AAON,2021-06-30,52224085.0,53296975.0,9.247354094674229,-6.506879611835381,2.740474482838848,-1.1252608614278765,-1.1252608614278765,1.6152136214109714,0.0023453488682988106,0.0005628837283917146,1.61755897027927,1.7379410369913115,-0.3582754931213263,1.3796655438699852,1.3796655438699852,1.3796655438699852,1.8208725729743573,0.9865287851702653,4.60452023778085,4.365125788095853,0.0999869129533149,4.4651127010491685,9.069632938830019,1.251084137514371,1.251084137514371,0.0,0.8193147922560333,2.0703989297704046,0.20952408649834253,6.789709922561271,6.999234009059614,9.069632938830019,1.3796655438699852,0.453496657174258,-0.0877535732562683,2.25256686706891,-1.169484759688519,-1.048070739474426,0.12409709931942667,0.05026551694538011,-0.3484062650835249,0.8560898625109586,0.2968557817236899,1.0195951872631284,2.305956344802072,3.6804241215375155,0.3432654828930273,0.29635228139659453,-2869.5333333333333,8.692720047998181,0.14919570827990325,2.2439748646500397,0.15211922612250303,0.19711664763375314,-0.046409701169337375,0.22183913856731197,0.07655988312012263,0.22183913856731197,0.13717484766941945,-0.1331780647893288,-0.2506292042282524,-0.1802289252442627,-0.04140004625703497,-0.21209048856219503,-0.00027992227085926746,-0.00781491002570689,-0.15780132816420944,2.122371860691906,0.0,1.2234090208684452,0.17467,0.88674,0.2958,1.40801,1.3796700000000002,9.437330000000001,7.14303,1.24854,5.0,3,6
AAP,2021-06-30,68633000.0,68900250.0,155.86023272774773,-86.28418619671191,69.57604653103581,-56.17100083091135,-56.17100083091135,13.405045700124456,-0.5659340858705157,-0.6652225499907475,12.83911161425394,12.142133011128406,-2.920642523067768,9.221490488060638,9.221490488060638,9.221490488060638,12.775468884365441,11.681031636314817,91.59209146556071,21.247963541496585,59.41603985471751,80.6640033962141,172.2560948617748,63.00673800167634,69.55595952119187,14.99804427414995,51.87931828984655,121.43527781103842,11.610146552443569,62.420934611993424,50.82081705073639,172.2560948617748,9.221490488060638,1.8642602893313158,4.007909985812824,18.704025021679893,-3.68734511122964,-3.68734511122964,-10.939234618161763,-8.926556870258091,-20.893160765018994,-5.799761249052072,0.6600686413705851,0.9048169404561053,1.021322184478704,1.3168115585790319,0.06562586683651427,0.4464002479232101,20.151219618623728,10.030956118103788,0.059165127157024586,0.3516089877709042,0.05353360933591541,0.18145104748816743,0.5944427745340708,-0.01690476561249754,0.0024368992425105596,-0.01690476561249754,0.6376010350942307,0.6601337535826852,3.2656235661191158,4.504556747870591,2.0359560809625705,-4.5948992024811695,0.13579910160384379,0.40811227792456317,0.23443871896546997,17.01540995859957,14.99804427414995,20.256617356250523,0.08601,2.19667,2.38948,9.2574,9.22149,156.46714,51.01871,20.33549,8.0,6,7
AAPL,2021-06-30,16999126750.0,17179630250.0,18.94138554000602,-11.387323076991136,7.554062463014883,-2.379154813299896,-1.2056138402629475,5.174907649714988,0.04220114108684033,0.0,5.217108790801827,5.217108790801827,-0.775162201177176,4.441946589624652,4.441946589624652,4.441946589624652,4.064930326425389,1.0770313290066298,7.070291864983532,2.201153310619127,2.522696901465618,12.555159619922554,19.625451484906087,2.335731294333299,6.192508130377253,6.323884648215872,9.406197784728224,15.598705915105478,3.1550737245931124,0.8883194677603727,4.026745569800608,19.625451484906087,4.441946589624652,0.41782040099495155,0.3018109193589891,5.79703978204071,-0.5307448336962898,-1.0818626320551923,0.7838352632764026,-4.388336588326748,-4.892305525609318,-0.17712837562380015,0.9905386137300631,0.9651439384502222,0.835211138591188,1.1417493067631714,0.1572513346523272,0.3988125603092752,0.0,11.512425556415431,0.2345101196658943,0.8303520233115571,0.22633602050077412,1.1031108155772067,0.8332872790777359,0.05230337078651681,-0.0477215340032876,0.05230337078651681,0.33375862972996595,-0.17822987306555382,1.1006311672148636,0.357719550993457,-0.384283810226016,0.8949205795077675,0.2142875800896331,-0.19611626091404266,0.536261211050709,5.810369521777106,7.080769389667161,6.356597808616981,0.27321,1.4310399999999999,3.8737699999999995,4.48911,4.44195,19.14251,4.0695,6.4240900000000005,7.0,5,8
AAWW,2021-06-30,27039250.0,27568000.0,124.38022344747533,-66.09086622170632,58.28935722576901,-27.541170922809055,0.0,30.748186302959954,4.232225769007545,-4.052996227510157,34.9804120719675,21.126124492164827,-5.642012478235635,15.484112013929193,15.484112013929193,15.484112013929193,25.528765235055136,10.495393209518282,40.11992164828787,153.30223447475333,24.055245211839814,177.35747968659314,217.47740133488102,22.199724318049913,38.979360127684274,82.25282936738247,92.05013058618688,131.02949071387116,33.120755948926295,61.55912652350551,86.44791062100987,217.47740133488102,15.484112013929193,9.588726059199072,-0.19257835171213,37.21053395240859,1.1201755658734764,-11.216446604759142,-8.362304120719674,0.1390742890307603,-8.640452698781196,17.353634648868255,-0.0036282732769250714,0.5719225201516425,-0.0908475792904822,1.0292606527369221,-0.0,0.46863846687318494,7.586532179391943,9.535156592786622,0.12449014469304276,0.9241854747376425,0.07119871728688763,0.17911493641311918,-0.0036282732769250714,0.10910975482517049,-0.005601251777187954,0.10910975482517049,-2.7782378671110184,-0.5111460207537222,2.8510255641673448,4.100868406698172,-0.8017565832733193,-0.003823399836364816,0.2685548840402987,-0.07632912410520387,0.3384573785318461,43.07846053395241,99.03246517701683,49.64807022634939,0.24720999999999999,3.2063900000000003,1.5157,15.7869,15.484110000000001,126.81246999999999,88.13839,50.61893,8.0,3,9
ABBV,2021-06-30,1739000000.0,1745750000.0,28.752685092367177,-10.11485035085207,18.637834741515107,-11.116139195188314,-7.129314048403265,7.521695546326794,-4.408420449663469,-1.4171559501646858,3.113275096663325,2.386939710726049,0.572819704997852,2.959759415723901,2.955176858083918,2.955176858083918,5.600458255763998,5.4921953315194045,15.219246742087927,2.974652728053845,67.84132894171559,70.99069167979378,86.20993842188172,11.802377201775741,18.302162394386368,42.49348417585565,60.04124301875984,78.34340541314621,10.156093369611915,1.3129027638550765,7.866533008735501,86.20993842188172,2.959759415723901,3.5056565945868536,-0.43763425461835886,10.683087498209938,-0.4931977660031505,-21.635400257768868,-1.5368752685092366,-0.4891880280681655,-7.018759845338679,-17.97909208076758,0.5131823036708077,0.33351937860878,0.10594315245478036,0.8315545679321461,0.46517510821294056,0.648211973304114,5.307599029911075,10.700660458568171,0.10277916127104293,0.6060843166098088,0.034278842001049824,0.37566445787519115,0.04800719545786722,0.6502483579863814,-0.0004250655862916286,0.6502483579863814,-0.38845424371740156,97.69444444444444,0.18039867109634544,0.31264757969303414,0.024918032786885203,0.2707317073170732,0.47385265877793104,-0.061192091210852895,0.509455853347256,12.177001288844336,48.99326936846627,10.673349563224974,0.2616,3.61175,9.95908,2.96665,2.95518,28.864290000000004,7.883839999999999,10.714780000000001,4.0,1,10
