Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
A,45846,USD,2021,Q2,2021-06-01,2021-06-01,307250000.0,310250000.0,5817000000.0,-2705000000.0,3112000000.0,-1967000000.0,-1561000000.0,-406000000.0,,1145000000,-58000000.0,-74000000.0,1087000000,5000000.0,1087000000,-162000000.0,925000000,0.0,925000000,925000000
AA,367153,USD,2021,Q1,2021-05-05,2021-05-05,186000000.0,186500000.0,9775000000.0,-8236000000.0,1539000000.0,-890000000.0,-198000000.0,-27000000.0,-665000000.0,649000000,-274000000.0,-158000000.0,375000000,-109000000.0,266000000,-200000000.0,66000000,,-75000000,-75000000
AAL,68568,USD,2021,Q1,2021-04-22,2021-04-22,536112000.0,536112000.0,12830000000.0,-9902000000.0,2928000000.0,-12115000000.0,-279000000.0,,-1958000000.0,-9187000000,-949000000.0,-1317000000.0,-10136000000,-2220000000.0,-10136000000,2242000000.0,-7894000000,,-7894000000,-7894000000
AAP,184955,USD,2021,Q1,2021-06-02,2021-06-02,68633000.0,68900250.0,10738809000.0,-5945002000.0,4793807000.0,-3870196000.0,-3870196000.0,,,923611000,-38993000.0,-45834000.0,884618000,-48022000.0,836596000,-201233000.0,635363000,,635363000,635363000
AAPL,111052,USD,2021,Q2,2021-04-29,2021-04-29,16999126750.0,17179630250.0,325406000000.0,-195630000000.0,129776000000.0,-40873000000.0,-20712000000.0,-20161000000.0,,88903000000,725000000.0,,89628000000,-9000000.0,89628000000,-13317000000.0,76311000000,,76311000000,76311000000
ABAX,36105,USD,2017,Q4,2018-07-30,2018-07-30,22672000.0,23135000.0,244700000.0,-111091000.0,133609000.0,-94954000.0,-71622000.0,-23332000.0,,38655000,4745000.0,,43400000,0.0,43400000,-16223000.0,27177000,0.0,27177000,27177000
ABBV,61199,USD,2021,Q1,2021-05-07,2021-05-07,1739000000.0,1745750000.0,50195000000.0,-17658000000.0,32537000000.0,-19406000000.0,-12446000000.0,-6960000000.0,,13131000000,-7696000000.0,-2474000000.0,5435000000,-1268000000.0,4167000000,1000000000.0,5167000000,,5159000000,5159000000
ABC,187024,USD,2021,Q2,2021-05-05,2021-05-05,204338250.0,204667250.0,196282272000.0,-190724098000.0,5558174000.0,-3246102000.0,-2853000000.0,,-393102000.0,2312072000,-146323000.0,-140595000.0,2165749000,-6870978000.0,-4705229000,960704000.0,-3744525000,0.0,-3746521000,-3746521000
ABCD,358762,USD,2018,Q3,2018-11-01,2018-11-01,47015250.0,48196750.0,160666000.0,-44161000.0,116505000.0,-90353000.0,-71835000.0,-15585000.0,-2933000.0,26152000,-3753000.0,-3665000.0,22399000,-5413000.0,16986000,26189000.0,43175000,,43175000,43175000
ABM,199984,USD,2021,Q2,2021-06-09,2021-06-09,67050000.0,67575000.0,5868500000.0,-4941100000.0,927400000.0,-778800000.0,-553600000.0,,-225200000.0,148600000,-39000000.0,-40200000.0,109600000,177700000.0,287300000,-72800000.0,214500000,0.0,214500000,214500000
ABMC,160965,USD,2021,Q1,2021-05-20,2021-05-20,37394372.0,37394372.0,3985000.0,-2832000.0,1153000.0,-2012000.0,-1935000.0,-77000.0,,-859000,-166000.0,-168000.0,-1025000,0.0,-1025000,-2000.0,-1027000,,-1027000,-1027000
ABT,63877,USD,2021,Q1,2021-05-05,2021-05-05,1774985250.0,1788731250.0,37338000000.0,-16123000000.0,21215000000.0,-14507000000.0,-9931000000.0,-2496000000.0,-2080000000.0,6708000000,-330000000.0,-503000000.0,6378000000,-63000000.0,6378000000,-658000000.0,5720000000,4000000.0,5724000000,5724000000
ACAT,33956,USD,2016,Q3,2017-02-06,2017-02-06,13044500.0,13004500.0,508222000.0,-473275000.0,34947000.0,-119408000.0,-88006000.0,-31402000.0,,-84461000,-1308000.0,-1308000.0,-85769000,,-85769000,8318000.0,-77451000,,-77451000,-77451000
ACCO,120923,USD,2021,Q1,2021-04-28,2021-04-28,94675000.0,95500000.0,1681600000.0,-1185900000.0,495700000.0,-380599999.0,-344200000.0,,-36399999.0,115100001,-52700000.0,-42600000.0,62400001,-21200000.0,41200001,-7600000.0,33600001,-100000.0,33600001,33600001
ACET_delis,191612,USD,2019,Q2,2019-02-20,2019-02-20,35439500.0,35368500.0,682929000.0,-595793000.0,87136000.0,-145252000.0,-137061000.0,-8191000.0,,-58116000,-20984000.0,-20984000.0,-79100000,-256266000.0,-335366000,-10787000.0,-346153000,,-346153000,-346153000
ACIA,353923,USD,2020,Q4,2021-03-01,2021-03-01,41938000.0,43233000.0,583451000.0,-299351000.0,284100000.0,-194784000.0,-60386000.0,-134398000.0,,89316000,5527000.0,5598000.0,94843000,0.0,94843000,-4452000.0,90391000,,90391000,90391000
ACN,61372,USD,2021,Q3,2021-06-24,2021-06-24,635328673.0,646503112.0,47949376000.0,-32610924000.0,15338452000.0,-8130909000.0,-8130909000.0,,,7207543000,419123000.0,-29086000.0,7626666000,0.0,7626666000,-1768120000.0,5858546000,,5778490000,5778490000
ACPW,95192,USD,2016,Q4,2017-03-14,2017-03-14,23211000.0,23211000.0,0.0,0.0,0.0,-1447000.0,-1447000.0,0.0,,-1447000,1000.0,0.0,-1446000,,-1446000,0.0,-1446000,-14420000.0,-15866000,-15866000
ACRX,113247,USD,2021,Q1,2021-05-17,2021-05-17,93556794.0,93556794.0,5541000.0,-5561000.0,-20000.0,-34237000.0,-30663000.0,-3574000.0,,-34257000,-2981000.0,-3122000.0,-37238000,3832000.0,-33406000,-4000.0,-33410000,,-33410000,-33410000
ACT,353702,USD,2013,Q3,2013-10-31,2013-10-31,130250000.0,132225000.0,7648500000.0,-4227100000.0,3421400000.0,-2904500000.0,-1754400000.0,-547600000.0,-602500000.0,516900000,-44500000.0,-218700000.0,472400000,-846800000.0,-374400000,-199200000.0,-573600000,,-574000000,-574000000
ADBE,14099,USD,2021,Q1,2021-03-31,2021-03-31,480500000.0,484500000.0,13682000000.0,-1717000000.0,11965000000.0,-7211000000.0,-4770000000.0,-2276000000.0,-165000000.0,4754000000,-85000000.0,-113000000.0,4669000000,21000000.0,4690000000,876000000.0,5566000000,,5566000000,5566000000
ADI,65917,USD,2021,Q2,2021-05-19,2021-05-19,369025000.0,372461750.0,6202296000.0,-2024626000.0,4177670000.0,-2314333000.0,-710755000.0,-1602938000.0,-640000.0,1863337000,-161404000.0,-178522000.0,1701933000,1009000.0,1702942000,-142327000.0,1560615000,0.0,1560615000,1560615000
ADM,66997,USD,2021,Q1,2021-04-28,2021-04-28,561000000.0,563000000.0,68278000000.0,-63228000000.0,5050000000.0,-2772000000.0,-2772000000.0,,,2278000000,561000000.0,-282000000.0,2839000000,-507000000.0,2332000000,-248000000.0,2084000000,,2070000000,2070000000
ADPT_delis,118952,USD,2016,Q3,2016-11-09,2016-11-09,15016037.0,15016037.0,403739000.0,,403739000.0,-381284000.0,-315996000.0,,-14814000.0,22455000,-9570000.0,-7506000.0,12885000,180233000.0,193118000,-46739000.0,146379000,,84702000,84702000
ADS,68960,USD,2021,Q1,2021-05-05,2021-05-05,48325000.0,48425000.0,4224500000.0,-2075600000.0,2148900000.0,-921400000.0,-98700000.0,,-179000000.0,1227500000,-464000000.0,-464000000.0,763500000,0.0,763500000,-212300000.0,551200000,-81300000.0,469900000,469900000
