Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Total Investments,"Cash, Cash Equivalents & Short Term Investments",Accounts & Notes Receivable,"Property, Plant & Equipment, Net",Total Assets,Insurance Reserves,Short Term Debt,Long Term Debt,Total Liabilities,Preferred Equity,Policyholders Equity,Share Capital & Additional Paid-In Capital,Treasury Stock,Retained Earnings,Total Equity,Total Liabilities & Equity
AET,62217,USD,2018,Q3,2018-10-30,2018-10-30,327525000.0,330225000,18560000000.0,6769000000,5704000000.0,568000000.0,57103000000,18286000000.0,375000000.0,7782000000.0,38540000000,,,4779000000,,15325000000,18563000000,57103000000
AFL,62581,USD,2021,Q1,2021-04-29,2021-04-29,704845000.0,707299000,138299000000.0,4990000000,777000000.0,,158157000000,107905000000.0,,8088000000.0,126054000000,,,2573000000,-16554000000.0,39277000000,32103000000,158157000000
AIG,251769,USD,2021,Q1,2021-05-07,2021-05-07,867782318.0,868660386,348457000000.0,2796000000,11827000000.0,13808000000.0,584390000000,311858000000.0,9216000000.0,28731000000.0,520830000000,485000000.0,,86019000000,-49412000000.0,19121000000,63560000000,584390000000
AIZ,66661,USD,2021,Q1,2021-05-06,2021-05-06,59762162.0,62719055,7870000000.0,1651300000,1924200000.0,,44410600000,18657500000.0,1687000000.0,2203700000.0,38585000000,2900000.0,,1805000000,-122800000.0,3635500000,5825600000,44410600000
ALL,68840,USD,2021,Q1,2021-05-05,2021-05-05,307875000.0,311500000,60076000000.0,709000000,7921000000.0,1002000000.0,129811000000,20274000000.0,500000000.0,7996000000.0,103019000000,2170000000.0,,3605000000,-31886000000.0,51107000000,26792000000,129811000000
ANTM,378099,USD,2021,Q1,2021-04-21,2021-04-21,248950000.0,252250000,33217000000.0,9326000000,12291000000.0,3533000000.0,95683000000,6990000000.0,150000000.0,23234000000.0,61765000000,0.0,,9255000000,,24793000000,33918000000,95683000000
CB,378112,USD,2021,Q1,2021-04-30,2021-04-30,451270548.0,453145330,118979000000.0,1684000000,10573000000.0,,191977000000,93134000000.0,1300000000.0,14879000000.0,132593000000,308000000.0,,20382000000,-3901000000.0,41637000000,59384000000,191977000000
CI,378114,USD,2021,Q1,2021-05-07,2021-05-07,362723250.0,362723250,24298000000.0,6505000000,13588000000.0,4114000000.0,152081000000,5743000000.0,404000000.0,31568000000.0,103867000000,,,29258000000,-9267000000.0,29389000000,48214000000,152081000000
CINF,248488,USD,2021,Q1,2021-04-28,2021-04-28,160900000.0,162475000,22018000000.0,947000000,2147000000.0,,28313000000,13081000000.0,57000000.0,848000000.0,17175000000,,,1719000000,-1809000000.0,10603000000,11138000000,28313000000
ETFC,378132,USD,2020,Q2,2020-08-05,2020-08-05,226014500.0,226440000,48782000000.0,6006000000,,356000000.0,70371000000,43667000000.0,,1411000000.0,63551000000,689000000.0,,4330000000,,1843000000,6820000000,70371000000
HUM,234479,USD,2021,Q1,2021-04-28,2021-04-28,131398000.0,132197000,15576000000.0,3877000000,2196000000.0,2507000000.0,37415000000,8410000000.0,1547000000.0,6062000000.0,23225000000,0.0,,2745000000,-9915000000.0,21252000000,14190000000,37415000000
LNC,243942,USD,2021,Q1,2021-05-06,2021-05-06,192786060.0,193244583,148559000000.0,1350000000,653000000.0,,366760000000,146593000000.0,300000000.0,6294000000.0,347167000000,0.0,,5057000000,,8775000000,19593000000,366760000000
MKL,205470,USD,2021,Q1,2021-04-28,2021-04-28,13812000.0,13829500,21093944000.0,3882379000,2254424000.0,,43043029000,22416179000.0,,3564949000.0,29623211000,591891000.0,,3447614000,,8754760000,13419818000,43043029000
MMC,85544,USD,2021,Q1,2021-04-27,2021-04-27,507000000.0,513000000,,1120000000,5597000000.0,830000000.0,32273000000,,1015000000.0,10242000000.0,22677000000,0.0,,1412000000,-3561000000.0,16780000000,9596000000,32273000000
NATL,138792,USD,2016,Q3,2016-11-04,2016-11-04,19920250.0,19972750,1258212000.0,85998000,289114000.0,22274000.0,2031752000,1378189000.0,18000000.0,,1640021000,0.0,,62653000,-4859000.0,310782000,391731000,2031752000
PFG,367240,USD,2021,Q1,2021-04-29,2021-04-29,274175000.0,276300000,104761900000.0,2003500000,1708300000.0,1043700000.0,295634600000,87839700000.0,84000000.0,4279399999.0,279908799999,,,10356600000,-8104100000.0,12199200000,15725800000,295634599999
PRU,78741,USD,2021,Q1,2021-05-06,2021-05-06,395625000.0,396250000,518829000000.0,16099000000,,,907280000000,457931000000.0,1152000000.0,19730000000.0,848504000000,0.0,,25585000000,-19878000000.0,33110000000,58776000000,907280000000
SAFT,250043,USD,2021,Q1,2021-05-07,2021-05-07,14892590.0,15003880,1506002000.0,51563000,181865000.0,,2045660000,989653000.0,,30000000.0,1155407000,,,211816000,-123834000.0,767744000,890253000,2045660000
TRV,262327,USD,2021,Q1,2021-04-20,2021-04-20,252925000.0,254150000,83887000000.0,663000000,8167000000.0,,117032000000,75372000000.0,,6550000000.0,88763000000,66000000.0,,23905000000,-36212000000.0,39285000000,28269000000,117032000000
UNAM,251597,USD,2021,Q1,2021-05-17,2021-05-17,5305370.0,5305370,95482267.0,7772757,3586912.0,2228085.0,135602657,93685541.0,,,99335149,,,3771767,,30891549,36267508,135602657
