Ticker,Date,SimFinId,Market-Cap,Price to Earnings Ratio (quarterly),Price to Earnings Ratio (ttm),Price to Sales Ratio (quarterly),Price to Sales Ratio (ttm),Price to Book Value,Price to Free Cash Flow (quarterly),Price to Free Cash Flow (ttm),Enterprise Value,EV/EBITDA,EV/Sales,EV/FCF,Book to Market Value,Operating Income/EV
A,2021-04-20,45846,40360232837.0,140.73875,50.367509999999996,26.18395,7.37752,8.49244,226.44,37.32633,41530232837.0,32.8562,7.509989999999999,37.99655,0.11903,0.02309
AA,2021-04-20,367153,6142575064.0,-1533.57,-36.084,2.5645,0.66059,1.22294,22.80401,6.861610000000001,8705575064.0,8.03097,0.9374899999999999,9.73778,0.8166,0.049510000000000005
AAC,2021-04-20,939324,246797155.0,-18.71419,-2.4424099999999997,4.15684,1.06825,-15.67203,,,584971155.0,,2.58885,,-0.06241,-0.10304
AAL,2021-04-20,68568,13030196046.0,-5.34954,-1.10938,2.8932900000000004,0.5685399999999999,-1.43539,,,38759196046.0,,2.23563,,-0.5270100000000001,-0.26887
AAMC,2021-04-20,847094,37893902.0,0.76884,0.75868,-3.69639,,0.36177,7.09766,-1.50747,-51084099.0,2.53444,,2.55165,2.20146,0.40149
AAME,2021-04-20,450021,77169619.0,6.568989999999999,6.56474,1.28767,0.39554,,,,,,,,,
AAN,2021-04-20,441241,1624801528.0,23.746979999999997,-5.81879,1.57627,0.39591,1.06677,30.36915,-37.828509999999994,1597545528.0,0.62329,0.38976,-37.240559999999995,0.93624,0.20038
AAOI,2021-04-20,671827,202382566.0,-13.342310000000001,-2.83564,3.42674,0.70645,0.59645,-8.62055,-2.4607200000000002,288980566.0,-11.986419999999999,1.2316799999999999,-4.29022,1.3731,-0.16901
AAON,2021-04-20,919501,3576956133.0,189.17629,45.17029,30.624840000000003,6.9358699999999995,10.1716,185.79322,43.93632,3497931133.0,28.910429999999998,6.798030000000001,43.06312,0.09809,0.027260000000000003
AAP,2021-04-20,184955,12705840282.0,117.21654,27.037490000000002,5.5506,1.3189799999999998,3.74491,92.97907,13.19744,12903832282.0,12.90399,1.27681,12.77546,0.28015,0.058120000000000005
AAPL,2021-04-20,111052,2234663458560.0,78.39449,35.75181,20.22841,7.770630000000001,34.51336,52.57196999999999,24.283,2269880458560.0,26.65462,7.71714,24.11585,0.02963,0.03271
AAT,2021-04-20,919944,2034328204.0,,,,,,,,,,,,,
AAWW,2021-04-20,762204,1942120058.0,10.04523,4.943169999999999,1.9818099999999998,0.55462,0.7875,5.45386,1.2744799999999998,3892254058.0,3.44876,1.21212,2.78535,1.1644700000000001,0.20565999999999998
AAXN,2021-01-25,493957,11129814510.0,-12694.836009999999,-265.31723,66.58530999999999,16.90719,11.83705,-143.20629,-85.75154,10622900510.0,-478.46592999999996,16.95016,-85.96945,0.08043,-0.00323
ABAX,2018-08-01,36105,1898293000.0,188.01737,69.24149,27.738359999999997,7.69013,6.473409999999999,210.26049,37.53867,1736977000.0,37.22546,7.098389999999999,34.65014,0.15313,0.02225
ABBV,2021-04-20,61199,192534080661.0,5363.670279999999,39.37457,13.933620000000001,3.96806,13.87745,57.263380000000005,10.6189,270132080661.0,14.193570000000001,5.89757,15.782429999999998,0.06802000000000001,0.0465
ABC,2021-04-20,187024,24667091075.0,-5.07505,-7.23919,0.49942,0.12995,-29.38934,3.57752,3.80628,24368153075.0,9.98033,0.12833,3.75874,-0.03404,0.08345
ABCB,2021-04-20,919504,3359115447.0,35.49114,12.75479,12.14185,3.0819400000000003,1.26237,-1.55285,-0.37753000000000003,3592562447.0,9.56448,3.3134,-0.40588,0.78803,0.09471
ABCD,2018-12-18,358762,684907794.0,116.47321000000001,15.76794,15.30185,4.23724,-3386.96925,18.84102,38.81969,702209794.0,15.230329999999999,4.37062,40.04161,-0.00029,0.037239999999999995
ABD,2021-04-20,120923,795402406.0,26.57054,12.8115,1.7209299999999998,0.47989,1.06949,6.73301,4.43255,1889902405.0,9.741760000000001,1.1418,10.546330000000001,0.93374,0.06523999999999999
ABEO,2021-04-20,953884,144231842.0,-8.39966,-1.60611,44.31662,13.52888,,,,,,,,,
ABG,2021-04-20,545489,3887978666.0,77.86452,24.36249,2.67253,0.56596,5.38769,8.493689999999999,4.88551,4524678666.0,14.30502,0.6665300000000001,5.75366,0.18341,0.06155
ABIO,2021-04-20,953886,47553472.0,-6.05826,-1.5962,,,0.33412,-10.20999,-1.96533,-1517528.0,0.15552,,0.19187,0.97829,6.43547
ABM,2021-04-20,199984,3449081271.0,46.37251,73.72986999999999,2.3149,0.58686,2.19423,34.72113,6.80606,3761481271.0,14.82649,0.6411100000000001,7.435230000000001,0.45496000000000003,0.04238
ABMC,2021-04-20,160965,3235813.0,-13.626870000000002,-3.9986099999999998,4.08631,0.7654,-2.52778,-10.47875,-5.65935,3212813.0,-5.9277,0.77455,-5.72694,-0.38816,-0.19329000000000002
ABMD,2021-04-20,445587,14930741877.0,241.17234,74.24644,64.40756999999999,18.3089,11.79917,185.67508999999998,57.285219999999995,14444289877.0,58.22432,17.76805,55.593019999999996,0.08449,0.01556
ABR,2021-04-20,638468,,,,,,,,,,,,,,
ABT,2021-04-20,63877,212583522960.0,98.55713,47.33259,19.91221,6.14771,6.44669,67.90329,34.81021,224401522960.0,25.8408,6.48409,36.714909999999996,0.15525,0.02387
ABTL,2021-04-20,445589,31737782.0,-33.83793,-4.64484,1.83782,0.41371,1.9392599999999998,344.63191,459.0985,32628782.0,-17.17304,0.42613,472.88089,0.51469,-0.1693
ABTX,2021-04-20,953887,781066671.0,49.5538,17.36445,13.87778,3.7501300000000004,1.0421799999999999,31.08765,15.628110000000001,466622671.0,7.3358,2.21317,9.22307,0.9713200000000001,0.11995
ABUS,2021-04-20,953888,285795906.0,-12.83569,-2.9887099999999998,108.4793,32.79546,2.22376,,,162527906.0,-2.9395,23.507070000000002,,0.35678000000000004,-0.35236
AC,2021-04-20,919941,738778670.0,14.26395,39.37251,76.49591,39.026140000000005,0.6684899999999999,,,908548670.0,-97.52561999999999,47.86117,,1.50007,-0.01031
ACA,2021-04-20,919864,2966751545.0,282.68152000000003,27.72833,6.467980000000001,1.52709,1.5621200000000002,375.71595,12.30575,3125451545.0,11.43179,1.6147200000000002,13.01187,0.6378,0.050839999999999996
ACAD,2021-04-20,445591,3328987376.0,-49.62962,-11.6217,27.380840000000003,7.40792,5.2192,-64.90125,-11.704419999999999,2697029376.0,-9.50817,6.1052599999999995,-9.646230000000001,0.18835,-0.10626
ACAT,2017-03-07,33956,241643633.0,-6.48725,-3.1158200000000003,2.05704,0.47484,2.17495,28.484370000000002,-2.2296400000000003,310238633.0,-4.88511,0.61044,-2.86637,0.45916999999999997,-0.27225
ACC,2021-04-20,445593,6177334588.0,-316.52207000000004,,30.477009999999996,,,,,,,,,,
ACE,2021-04-20,378112,72805869549.0,30.18491,20.67045,7.41137,2.0289099999999998,1.2222600000000001,,,86006869549.0,,2.38948,,0.8206600000000001,0.05439
ACER,2021-04-20,1053636,37922147.0,-5.31345,-1.28775,,,3.58336,,,32160579.0,-1.41477,,,0.21686999999999998,-0.70903
ACET,2021-04-20,1154966,384224395.0,-17.82412,-2.41285,11.098289999999999,4.943219999999999,0.8058,-7.206519999999999,-1.60051,289610395.0,-7.62835,16.17664,-5.23765,0.28584,-0.13532
ACET_delis,2019-10-01,191612,484766.0,-0.02503,-0.00161,0.0034200000000000003,0.00082,0.01107,-0.18869,0.026180000000000002,274810766.0,-10.696769999999999,0.4024,12.917069999999999,103.78418,-0.21148000000000003
ACGL,2021-04-20,445596,15814289569.0,29.6616,11.5962,6.626519999999999,1.8552099999999998,1.1307399999999999,-62.51631,9.28695,842274569.0,0.44953000000000004,0.0988,0.49456999999999995,0.8844799999999999,2.1425799999999997
ACHC,2021-04-20,445598,5404724722.0,-6.8124,-7.935960000000001,-19.30837,2.55225,2.72871,203.74333000000001,12.8453,8203768722.0,19.165760000000002,3.92538,19.756220000000003,0.36168,0.04057
ACI,2021-04-20,1077533,9454980470.0,76.9547,10.07087,0.61778,0.15424000000000002,3.5971699999999998,170.903,3.7287,16745080470.0,4.5865599999999995,0.24144000000000002,5.83676,0.31451999999999997,0.12361
ACIA,2021-03-01,353923,4902208489.0,141.2547,53.351,29.58145,8.26539,6.85186,107.57926,60.42187,4482338489.0,44.65103,7.682460000000001,56.160509999999995,0.14357,0.01993
ACIW,2021-04-20,1057787,4668130896.0,69.43215,63.83733,12.04538,3.5836699999999997,3.8442199999999995,30.399259999999998,14.47241,5657763896.0,19.847620000000003,4.37122,17.65287,0.25848000000000004,0.025580000000000002
ACLS,2021-04-20,670942,1380317082.0,93.59397,27.22733,11.23903,2.86766,2.82573,-121.39998,23.58456,1224987082.0,18.019820000000003,2.5813099999999998,21.22954,0.34891,0.04738
ACM,2021-04-20,445606,9757824861.0,382.84865,-51.812329999999996,3.0192,0.7814,3.44559,-1384.69953,12.93163,10997576861.0,14.397129999999999,0.8258,13.66639,0.30951,0.04954
ACN,2021-04-20,61372,192102472255.0,127.3878,33.61094,15.18415,4.015680000000001,9.73462,69.44403,16.08667,183535139255.0,21.195529999999998,4.01812,16.096429999999998,0.09809,0.03706
ACRX,2021-04-20,113247,139168961.0,-12.121960000000001,-2.47036,146.48189,18.41778,-1.78925,-12.497530000000001,-2.3064299999999998,118157961.0,-3.02117,21.81646,-2.73204,-0.40059,-0.34668000000000004
ACT,2020-11-16,353702,3783552000.0,57.20121999999999,-6.42627,1.86408,0.48227,0.9841700000000001,11.00733,2.94247,9725452000.0,7.45931,1.27155,7.75802,0.9906,0.05315
ACU,2021-04-20,998436,126736603.0,61.83152,15.650839999999999,3.09198,0.77287,2.02104,35.92137,23.12185,168022219.0,11.07987,1.02451,30.65015,0.49486,0.06792000000000001
ACW,2016-11-28,671043,124673358.0,-4.3581900000000005,-2.69696,0.9959600000000001,0.20016,3.3713,-34.294979999999995,4.75129,428205358.0,7.28476,0.68939,16.36433,0.2958,0.034089999999999995
ACY,2021-04-20,696963,15737099.0,-1.0878299999999999,-0.37253000000000003,5.08419,0.99945,-0.89333,,,115958499.0,,7.36446,,-1.11941,0.025
ADBE,2021-04-20,14099,245792380000.0,195.3264,44.390570000000004,63.07467,18.05861,18.23992,146.61106999999998,57.02236,244948380000.0,44.38275,17.90297,56.5309,0.05511,0.01941
ADC,2021-04-20,949491,,,,,,,,,,,,,,
ADES,2021-04-20,619745,92038665.0,209.62998000000002,-4.41723,4.90963,1.4563700000000002,1.05244,6.89889,-9.960980000000001,84992665.0,-11.37787,1.38027,-9.44048,0.92581,-0.18833
ADI,2021-04-20,65917,56983016327.0,146.79021,40.54337,36.59437,9.726939999999999,4.7138599999999995,116.58375,24.79031,61081520327.0,24.46177,10.42712,26.57481,0.21213,0.02765
ADIL,2021-04-20,807531,34885152.0,-8.39442,-2.31117,,,6.31588,-8.73087,-2.50942,30484038.0,-2.7896799999999997,,-3.03856,0.11425999999999999,-0.35848
ADM,2021-04-20,66997,32784490285.0,47.77131,18.58708,1.8255,0.51179,1.63895,-25.34277,-10.37364,42143490285.0,15.369620000000001,0.65486,-13.273539999999999,0.61297,0.0419
ADMA,2021-04-20,976582,183125789.0,-7.527760000000001,-1.71725,10.46833,3.081,1.47399,,,224873336.0,-3.68811,5.3262599999999996,,0.48191000000000006,-0.28867
ADNT,2021-04-20,675558,4129349180.0,27.51693,-17.921960000000002,1.07265,0.32761,2.24146,12.43235,26.423409999999997,7057349180.0,16.843320000000002,0.56091,45.23942,0.44535,0.01814
ADOM,2021-04-20,807727,25649444.0,-24.25853,-5.84063,640.42507,41.45146,5.52686,,,21924444.0,-5.1070199999999994,35.47645,,0.18070999999999998,-0.19782
ADP,2021-04-20,591496,82511153818.0,127.26948999999999,33.30538,22.298070000000003,5.66564,14.0114,97.8473,26.70995,82903053818.0,22.57708,5.68179,26.78612,0.07151,0.03823
ADPT,2021-04-20,1147630,5610545971.0,-123.92171,-36.163109999999996,182.97798999999998,53.74991,7.11458,-93.82172,-25.71371,4922276971.0,-33.70315,50.03229,-23.93522,0.13248,-0.03105
ADPT_delis,2017-11-01,118952,25766435.0,-2.46762,0.21628000000000003,0.23396,0.04537,0.053070000000000006,-0.54689,-0.26242,265524435.0,7.12454,0.65766,-3.8035300000000003,13.397160000000001,0.08457
ADRO,2020-10-05,781554,237525371.0,-14.21119,-3.64517,42.36076,8.41756,5.048080000000001,,-2.60799,66394371.0,-1.09954,2.3749599999999997,-0.73583,0.19626,-0.9775200000000001
ADS,2021-04-20,68960,5069392153.0,410.59025,22.8174,4.43961,1.07844,3.20457,18.79849,3.4814199999999995,17057392153.0,15.908779999999998,3.77259,12.17863,0.30015,0.052079999999999994
ADSK,2021-04-20,185035,62882449310.0,69.00544000000001,52.000809999999994,60.51256,16.5754,65.07238000000001,-454.04082999999997,140.58488,62662449310.0,83.22811999999999,16.531879999999997,140.21582,0.01535,0.01004
ADT,2021-04-20,54871,6675431304.0,-1.2394100000000001,-5.34819,0.10564000000000001,0.63617,1.1124399999999999,0.4493,2.97551,15962977304.0,7.6916899999999995,3.0035,14.04817,0.4553,0.01012
ADTM,2021-04-20,664460,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
ADTN,2021-04-20,998420,834306303.0,135.82158,348.36458,6.38146,1.63553,2.22127,-33.37405,-19.00199,777902303.0,112.42987,1.5358100000000001,-17.843429999999998,0.44701,-0.01248
ADUS,2021-04-20,1023443,1676003476.0,196.34554,49.848079999999996,8.46407,2.15961,3.1842900000000003,38.46601,13.93781,1725797476.0,30.513759999999998,2.25661,14.56381,0.30946999999999997,0.025789999999999997
ADV,2021-04-20,1108279,4002916073.0,-57.47325,-17.27359,2.88456,0.88918,1.1047,23.00499,7.09992,5988642073.0,20.10259,1.8977400000000002,15.152989999999999,0.63454,0.0099
ADVM,2021-04-20,702608,872341462.0,-23.155920000000002,-6.4634599999999995,,,1.7486099999999998,-29.88968,-6.793830000000001,442612462.0,-3.8896599999999997,,-3.9592099999999997,0.49791,-0.26649
ADXS,2021-04-20,950904,52565313.0,-9.287239999999999,-1.34505,22.87019,16.29133,0.8086,,-1.36218,19247313.0,-0.88836,10.320269999999999,-0.8629100000000001,0.71483,-1.17035
AE,2021-04-20,191518,113119509.0,19.31342,113.39336999999999,0.45206999999999997,0.11035,0.75676,-66.45452,-1.79371,89445509.0,6.97376,0.08748,-1.422,1.318,-0.06425
AEE,2021-04-20,68703,21760669968.0,184.9249,24.35687,16.01383,3.66152,2.33644,-69.49792,-34.60821,33339669968.0,13.9789,5.754169999999999,-54.387719999999995,0.41727,0.03899
AEHR,2021-04-20,178053,48862378.0,-65.99967,-8.8289,9.21013,3.7984699999999996,4.61359,-115.22508,-9.35839,45803378.0,-6.2753,3.59665,-8.86117,0.21458000000000002,-0.16645
AEIS,2021-04-20,574583,4107683151.0,98.11961,30.5118,11.06675,2.90232,5.03983,57.36234,17.93155,3947308151.0,16.65819,2.78799,17.225189999999998,0.19849,0.04793
AEO,2021-04-20,173396,5802855962.0,1641.34275,-27.687620000000003,4.48599,1.5414,5.33218,16.15536,-21.9358,5277668962.0,30.3208,1.4039700000000002,-19.97997,0.18725999999999998,0.00161
AEP,2021-04-20,66050,44763902047.0,102.75401,20.31,12.393889999999999,2.9952099999999997,2.1509099999999997,,9.956339999999999,77945802047.0,13.74584,5.2247699999999995,17.3676,0.46408999999999995,0.03833
AEPI,2017-01-30,210001,608185566.0,655.31981,19.50732,1.9699099999999998,0.51272,4.959309999999999,32.52151,5.37553,740034566.0,7.7092600000000004,0.67532,7.0803199999999995,0.18628,0.08988
AES,2021-04-20,62329,18799805621.0,126.27181000000002,408.39673999999997,7.349410000000001,1.94475,3.35949,20.296120000000002,8.53145,40214805621.0,11.18321,4.1630199999999995,18.26285,0.29745,0.06286
AET,2018-11-28,62217,69637980000.0,69.74433,19.00807,4.5042800000000005,1.1377,3.7528699999999997,-425.2703,17.96405,71297980000.0,12.05376,1.1643700000000001,18.38524,0.26655999999999996,0.07446
AFG,2021-04-20,485236,10310890075.0,14.93475,14.46101,3.94009,1.33841,1.55921,,,14234890075.0,11.52623,1.7998299999999998,,0.6584300000000001,0.06575
AFI,2021-04-20,155205,107024166.0,-3.35281,-1.7032599999999998,0.7549100000000001,0.18524000000000002,0.48663999999999996,-6.06877,-2.14509,173124166.0,-12.45498,0.29604,-3.4282,2.0799,-0.35639
AFL,2021-04-20,62581,36212794695.0,38.757059999999996,7.8555,6.23338,1.69475,1.1184399999999999,,,31071794695.0,,1.40298,,0.9267200000000001,0.14164000000000002
AFSI,2018-11-29,822262,2916093629.0,,,,,,,,,,,,,
AGCO,2021-04-20,365265,10916699208.0,80.2824,25.48525,4.00068,1.18963,3.60661,14.56355,10.46208,11451999208.0,12.36851,1.25163,11.0073,0.27646,0.0571
AGHI,2020-09-22,996261,,,,,,,,,,,,,,
AGI,2021-04-20,111482,,,,,,,,,,,,,,
